Date,Price,Open,High,Low,Vol.,Change,Price_log
2020-01-01,7199.8,7199.8,7199.8,7199.8,420280,0.05,8.881808527
2020-01-02,6967,6967,6967,6967,632780,-3.23,8.848939995
2020-01-03,7343.1,7343.1,7343.1,7343.1,936290,5.4,8.901516376
2020-01-04,7376.8,7376.8,7376.8,7376.8,523910,0.46,8.906095219
2020-01-05,7372.5,7372.5,7372.5,7372.5,628140,-0.06,8.905512141
2020-01-06,7759.1,7759.1,7759.1,7759.1,786750,5.24,8.956621627
2020-01-07,8155.7,8155.7,8155.7,8155.7,1010000,5.11,9.006472348
2020-01-08,8059.6,8059.6,8059.6,8059.6,1190000,-1.18,8.994619206
2020-01-09,7842.4,7842.4,7842.4,7842.4,786500,-2.7,8.967300189
2020-01-10,8187.1,8187.1,8187.1,8187.1,1050000,4.4,9.010315024
2020-01-11,8024.1,8024.1,8024.1,8024.1,776750,-1.99,8.990204792
2020-01-12,8187.6,8187.6,8187.6,8187.6,595220,2.04,9.010376094
2020-01-13,8111.4,8111.4,8111.4,8111.4,610660,-0.93,9.001025759
2020-01-14,8829.2,8829.2,8829.2,8829.2,1480000,8.85,9.085819689
2020-01-15,8818.3,8818.3,8818.3,8818.3,1170000,-0.12,9.084584387
2020-01-16,8726.9,8726.9,8726.9,8726.9,748320,-1.04,9.074165488
2020-01-17,8913.1,8913.1,8913.1,8913.1,794110,2.13,9.095277384
2020-01-18,8916.3,8916.3,8916.3,8916.3,627740,0.04,9.095636341
2020-01-19,8706.2,8706.2,8706.2,8706.2,975010,-2.36,9.071790695
2020-01-20,8641.9,8641.9,8641.9,8641.9,599060,-0.74,9.064377745
2020-01-21,8732.6,8732.6,8732.6,8732.6,540200,1.05,9.074818428
2020-01-22,8678.5,8678.5,8678.5,8678.5,509060,-0.62,9.068603982
2020-01-23,8405.1,8405.1,8405.1,8405.1,722670,-3.15,9.036593943
2020-01-24,8439.9,8439.9,8439.9,8439.9,617020,0.41,9.040725739
2020-01-25,8341.6,8341.6,8341.6,8341.6,444000,-1.17,9.029010323
2020-01-26,8607.8,8607.8,8607.8,8607.8,468340,3.19,9.060424048
2020-01-27,8866.6,8866.6,8866.6,8866.6,706450,3.01,9.090046687
2020-01-28,9377.3,9377.3,9377.3,9377.3,954200,5.76,9.146047154
2020-01-29,9298.9,9298.9,9298.9,9298.9,749880,-0.84,9.137651393
2020-01-30,9507.3,9507.3,9507.3,9507.3,765210,2.24,9.159815204
2020-01-31,9349.1,9349.1,9349.1,9349.1,633370,-1.66,9.143035361
2020-02-01,9381.6,9381.6,9381.6,9381.6,458420,0.35,9.146505603
2020-02-02,9334.9,9334.9,9334.9,9334.9,683370,-0.5,9.141515344
2020-02-03,9296.6,9296.6,9296.6,9296.6,701390,-0.41,9.137404021
2020-02-04,9193.9,9193.9,9193.9,9193.9,651680,-1.1,9.1262955
2020-02-05,9611.8,9611.8,9611.8,9611.8,771460,4.54,9.170746789
2020-02-06,9772,9772,9772,9772,778670,1.67,9.187276432
2020-02-07,9818.6,9818.6,9818.6,9818.6,608960,0.48,9.192033825
2020-02-08,9895.5,9895.5,9895.5,9895.5,551310,0.78,9.199835387
2020-02-09,10151.5,10151.5,10151.5,10151.5,617350,2.59,9.225376757
2020-02-10,9854.1,9854.1,9854.1,9854.1,781220,-2.93,9.195642891
2020-02-11,10229.5,10229.5,10229.5,10229.5,791280,3.81,9.233030982
2020-02-12,10317.7,10317.7,10317.7,10317.7,803250,0.86,9.241616146
2020-02-13,10235.1,10235.1,10235.1,10235.1,940300,-0.8,9.233578268
2020-02-14,10333,10333,10333,10333,732510,0.96,9.243097936
2020-02-15,9907.7,9907.7,9907.7,9907.7,808810,-4.12,9.201067512
2020-02-16,9932.3,9932.3,9932.3,9932.3,808910,0.25,9.203547352
2020-02-17,9701.4,9701.4,9701.4,9701.4,961880,-2.32,9.180025484
2020-02-18,10158.4,10158.4,10158.4,10158.4,945910,4.71,9.226056228
2020-02-19,9609.4,9609.4,9609.4,9609.4,905950,-5.4,9.170497065
2020-02-20,9602.4,9602.4,9602.4,9602.4,870800,-0.07,9.169768346
2020-02-21,9684.5,9684.5,9684.5,9684.5,716610,0.85,9.178281948
2020-02-22,9655.7,9655.7,9655.7,9655.7,589880,-0.3,9.175303694
2020-02-23,9942.7,9942.7,9942.7,9942.7,775880,2.97,9.204593893
2020-02-24,9662.7,9662.7,9662.7,9662.7,980000,-2.82,9.176028391
2020-02-25,9317.2,9317.2,9317.2,9317.2,937970,-3.57,9.139617433
2020-02-26,8800.3,8800.3,8800.3,8800.3,1320000,-5.55,9.082541091
2020-02-27,8818.6,8818.6,8818.6,8818.6,1130000,0.21,9.084618406
2020-02-28,8697.5,8697.5,8697.5,8697.5,1080000,-1.37,9.070790907
2020-02-29,8543.7,8543.7,8543.7,8543.7,683440,-1.77,9.052949448
2020-03-01,8540,8540,8540,8540,784050,-0.04,9.052516287
2020-03-02,8904.8,8904.8,8904.8,8904.8,1020000,4.27,9.094345736
2020-03-03,8761.4,8761.4,8761.4,8761.4,1010000,-1.61,9.078110989
2020-03-04,8757.9,8757.9,8757.9,8757.9,759690,-0.04,9.077711429
2020-03-05,9060.3,9060.3,9060.3,9060.3,950760,3.45,9.111657511
2020-03-06,9134.8,9134.8,9134.8,9134.8,1040000,0.82,9.119846575
2020-03-07,8887.8,8887.8,8887.8,8887.8,750650,-2.7,9.092434829
2020-03-08,8034.1,8034.1,8034.1,8034.1,1110000,-9.61,8.991450262
2020-03-09,7933,7933,7933,7933,1540000,-1.26,8.978786553
2020-03-10,7891.2,7891.2,7891.2,7891.2,1200000,-0.53,8.973503494
2020-03-11,7935.1,7935.1,7935.1,7935.1,1100000,0.56,8.979051235
2020-03-12,4826,4826,4826,4826,3220000,-39.18,8.481773246
2020-03-13,5584.3,5584.3,5584.3,5584.3,4170000,15.71,8.627714368
2020-03-14,5182.7,5182.7,5182.7,5182.7,1690000,-7.19,8.553081435
2020-03-15,5366.3,5366.3,5366.3,5366.3,1610000,3.54,8.587893937
2020-03-16,5030,5030,5030,5030,2550000,-6.27,8.523175263
2020-03-17,5261.1,5261.1,5261.1,5261.1,1890000,4.59,8.568095409
2020-03-18,5361.4,5361.4,5361.4,5361.4,1800000,1.91,8.586980414
2020-03-19,6172,6172,6172,6172,2180000,15.12,8.727778213
2020-03-20,6205.3,6205.3,6205.3,6205.3,2220000,0.54,8.733159045
2020-03-21,6186.2,6186.2,6186.2,6186.2,1640000,-0.31,8.730076284
2020-03-22,5822.1,5822.1,5822.1,5822.1,1480000,-5.89,8.6694163
2020-03-23,6468.9,6468.9,6468.9,6468.9,1880000,11.11,8.774761358
2020-03-24,6744.6,6744.6,6744.6,6744.6,1730000,4.26,8.816497464
2020-03-25,6678.9,6678.9,6678.9,6678.9,1520000,-0.97,8.806708582
2020-03-26,6725.1,6725.1,6725.1,6725.1,1180000,0.69,8.813602074
2020-03-27,6373.4,6373.4,6373.4,6373.4,1160000,-5.23,8.759888358
2020-03-28,6233.7,6233.7,6233.7,6233.7,1260000,-2.19,8.737725336
2020-03-29,5890.4,5890.4,5890.4,5890.4,916170,-5.51,8.681079186
2020-03-30,6391,6391,6391,6391,1430000,8.5,8.76264603
2020-03-31,6412.5,6412.5,6412.5,6412.5,1050000,0.34,8.766004489
2020-04-01,6638.5,6638.5,6638.5,6638.5,1400000,3.52,8.800641313
2020-04-02,6800.5,6800.5,6800.5,6800.5,1740000,2.44,8.824751418
2020-04-03,6735.9,6735.9,6735.9,6735.9,1350000,-0.95,8.81520671
2020-04-04,6857.4,6857.4,6857.4,6857.4,1050000,1.8,8.83308364
2020-04-05,6772.7,6772.7,6772.7,6772.7,842330,-1.23,8.820655105
2020-04-06,7332.3,7332.3,7332.3,7332.3,1530000,8.26,8.900044525
2020-04-07,7185.2,7185.2,7185.2,7185.2,1320000,-2.01,8.879778634
2020-04-08,7361.2,7361.2,7361.2,7361.2,983940,2.45,8.903978242
2020-04-09,7289,7289,7289,7289,963550,-0.98,8.894121641
2020-04-10,6863.1,6863.1,6863.1,6863.1,1370000,-5.84,8.833914514
2020-04-11,6867.8,6867.8,6867.8,6867.8,845580,0.07,8.834599101
2020-04-12,6917.6,6917.6,6917.6,6917.6,1100000,0.73,8.841824168
2020-04-13,6841.3,6841.3,6841.3,6841.3,1250000,-1.1,8.830733051
2020-04-14,6850.9,6850.9,6850.9,6850.9,999530,0.14,8.832135309
2020-04-15,6629.1,6629.1,6629.1,6629.1,1000000,-3.24,8.799224327
2020-04-16,7085.6,7085.6,7085.6,7085.6,1540000,6.89,8.865819834
2020-04-17,7035.8,7035.8,7035.8,7035.8,810100,-0.7,8.85876668
2020-04-18,7230.8,7230.8,7230.8,7230.8,796450,2.77,8.886104959
2020-04-19,7122.9,7122.9,7122.9,7122.9,5930000,-1.49,8.871070225
2020-04-20,6833.5,6833.5,6833.5,6833.5,1260000,-4.06,8.829592266
2020-04-21,6842.5,6842.5,6842.5,6842.5,892570,0.13,8.830908441
2020-04-22,7112.9,7112.9,7112.9,7112.9,914180,3.95,8.869665316
2020-04-23,7488.5,7488.5,7488.5,7488.5,1340000,5.28,8.921123789
2020-04-24,7503.8,7503.8,7503.8,7503.8,951950,0.2,8.923164838
2020-04-25,7540.4,7540.4,7540.4,7540.4,861930,0.49,8.92803051
2020-04-26,7678.9,7678.9,7678.9,7678.9,921590,1.84,8.946231587
2020-04-27,7766,7766,7766,7766,980500,1.13,8.95751051
2020-04-28,7746.9,7746.9,7746.9,7746.9,808090,-0.25,8.955048042
2020-04-29,8770.9,8770.9,8770.9,8770.9,1830000,13.22,9.079194703
2020-04-30,8629,8629,8629,8629,2040000,-1.62,9.062883903
2020-05-01,8821.6,8821.6,8821.6,8821.6,1110000,2.23,9.084958538
2020-05-02,8966.3,8966.3,8966.3,8966.3,890340,1.64,9.101228384
2020-05-03,8885.5,8885.5,8885.5,8885.5,1150000,-0.9,9.092176014
2020-05-04,8874.7,8874.7,8874.7,8874.7,1120000,-0.12,9.090959811
2020-05-05,9001,9001,9001,9001,1050000,1.42,9.105090961
2020-05-06,9151.4,9151.4,9151.4,9151.4,1620000,1.67,9.121662152
2020-05-07,9979.8,9979.8,9979.8,9979.8,1910000,9.05,9.208318329
2020-05-08,9806.2,9806.2,9806.2,9806.2,1420000,-1.74,9.190770118
2020-05-09,9554.6,9554.6,9554.6,9554.6,1490000,-2.57,9.164777993
2020-05-10,8738.8,8738.8,8738.8,8738.8,2470000,-8.54,9.075528159
2020-05-11,8579.8,8579.8,8579.8,8579.8,2290000,-1.82,9.057165882
2020-05-12,8813.8,8813.8,8813.8,8813.8,1350000,2.73,9.084073954
2020-05-13,9298.7,9298.7,9298.7,9298.7,1500000,5.5,9.137629884
2020-05-14,9778.4,9778.4,9778.4,9778.4,1770000,5.16,9.18793115
2020-05-15,9318,9318,9318,9318,1560000,-4.71,9.139703292
2020-05-16,9379.5,9379.5,9379.5,9379.5,1100000,0.66,9.146281736
2020-05-17,9677.7,9677.7,9677.7,9677.7,1180000,3.18,9.177579549
2020-05-18,9730.7,9730.7,9730.7,9730.7,1180000,0.55,9.183041115
2020-05-19,9773.3,9773.3,9773.3,9773.3,1160000,0.44,9.187409457
2020-05-20,9512.3,9512.3,9512.3,9512.3,1150000,-2.67,9.160340977
2020-05-21,9059,9059,9059,9059,1410000,-4.76,9.111514018
2020-05-22,9169.7,9169.7,9169.7,9169.7,914590,1.22,9.123659849
2020-05-23,9177,9177,9177,9177,812560,0.08,9.124455633
2020-05-24,8728.2,8728.2,8728.2,8728.2,1110000,-4.89,9.074314442
2020-05-25,8898.2,8898.2,8898.2,8898.2,941890,1.95,9.093604288
2020-05-26,8842.5,8842.5,8842.5,8842.5,784920,-0.63,9.087324921
2020-05-27,9199.1,9199.1,9199.1,9199.1,810890,4.03,9.126860932
2020-05-28,9572.2,9572.2,9572.2,9572.2,948860,4.06,9.166618343
2020-05-29,9424.8,9424.8,9424.8,9424.8,814330,-1.54,9.151099792
2020-05-30,9692.5,9692.5,9692.5,9692.5,720620,2.84,9.17910767
2020-05-31,9454.8,9454.8,9454.8,9454.8,645270,-2.45,9.154277828
2020-06-01,10189.3,10189.3,10189.3,10189.3,796680,7.77,9.229093429
2020-06-02,9527.6,9527.6,9527.6,9527.6,1060000,-6.49,9.161948129
2020-06-03,9667.2,9667.2,9667.2,9667.2,558120,1.47,9.176493991
2020-06-04,9794.4,9794.4,9794.4,9794.4,593660,1.32,9.189566073
2020-06-05,9631.2,9631.2,9631.2,9631.2,527050,-1.67,9.172763108
2020-06-06,9669.6,9669.6,9669.6,9669.6,370850,0.4,9.176742223
2020-06-07,9742.6,9742.6,9742.6,9742.6,549200,0.76,9.184263301
2020-06-08,9777.9,9777.9,9777.9,9777.9,431040,0.36,9.187880016
2020-06-09,9768.8,9768.8,9768.8,9768.8,479550,-0.09,9.186948913
2020-06-10,9878.8,9878.8,9878.8,9878.8,533550,1.13,9.198146326
2020-06-11,9283.2,9283.2,9283.2,9283.2,919300,-6.03,9.135961594
2020-06-12,9466.6,9466.6,9466.6,9466.6,529280,1.97,9.155525093
2020-06-13,9471.3,9471.3,9471.3,9471.3,364970,0.05,9.156021452
2020-06-14,9345.3,9345.3,9345.3,9345.3,311270,-1.33,9.142628822
2020-06-15,9425.4,9425.4,9425.4,9425.4,750900,0.86,9.151163452
2020-06-16,9523.5,9523.5,9523.5,9523.5,545470,1.04,9.161517707
2020-06-17,9464.6,9464.6,9464.6,9464.6,446450,-0.62,9.155313802
2020-06-18,9388.1,9388.1,9388.1,9388.1,391670,-0.81,9.147198209
2020-06-19,9314,9314,9314,9314,478490,-0.79,9.139273924
2020-06-20,9358.8,9358.8,9358.8,9358.8,383440,0.48,9.144072356
2020-06-21,9296.4,9296.4,9296.4,9296.4,335990,-0.67,9.137382507
2020-06-22,9683.7,9683.7,9683.7,9683.7,523320,4.17,9.178199339
2020-06-23,9624.6,9624.6,9624.6,9624.6,375490,-0.61,9.1720776
2020-06-24,9302,9302,9302,9302,515780,-3.35,9.13798471
2020-06-25,9247.5,9247.5,9247.5,9247.5,524450,-0.59,9.132108524
2020-06-26,9160,9160,9160,9160,489840,-0.95,9.122601458
2020-06-27,9008.3,9008.3,9008.3,9008.3,441930,-1.66,9.105901654
2020-06-28,9124,9124,9124,9124,329010,1.28,9.118663583
2020-06-29,9185.4,9185.4,9185.4,9185.4,401120,0.67,9.125370546
2020-06-30,9135.4,9135.4,9135.4,9135.4,381730,-0.54,9.119912255
2020-07-01,9229.9,9229.9,9229.9,9229.9,366780,1.03,9.130203493
2020-07-02,9085.1,9085.1,9085.1,9085.1,483100,-1.57,9.114390988
2020-07-03,9067.1,9067.1,9067.1,9067.1,333880,-0.2,9.112407757
2020-07-04,9134.4,9134.4,9134.4,9134.4,261250,0.74,9.119802785
